ISBN,Net $ USD
9781481499828,$0.35 
9781616205355,$0.50 
9781418550561,$1.00 
9781481435222,$0.50 
9781474877800,$1.00 
9780062299352,$1.00 
9780142418178,$1.00 
9780758285775,$1.00 
9781416947349,$1.00 
9781595148209,$1.00 
9781481415170,$1.00 
9780765336750,$0.50 
9780802738394,$1.00 
9781627790666,$1.00 
9781443410298,$0.50 
9781476778853,$1.00 
9780062659583,$0.50 
9781770497757,$1.00 
9780316129275,$1.00 
9781440598739,$0.50 
9780698116870,$1.00 
9781785986857,$1.00 
9781443408219,$0.50 
9781250090560,$1.00 
9780765376022,$0.50 
9781770667976,$1.00 
9780062318572,$1.00 
9781782351740,$1.00 
9780399535253,$1.00 
9780385386562,$0.35 
9781118951323,$0.50 
9780062363466,$0.50 
9780375866319,$0.35 
9781101905418,$0.50 
9781416537625,$1.00 
9781442422599,$1.00 
9781250093899,$0.50 
9780448482521,$1.00 
9780062245397,$0.35 
9780440238850,$1.00 
9780312509224,$1.00 
9780142418512,$1.00 
9780765337313,$0.50 
9781931543804,$0.50 
9780062425447,$1.00 
9780316469708,$1.00 
9781481421348,$0.50 
9781250180346,$0.50 
9781620402603,$0.50 
9780062290458,$1.00 
9781582704876,$1.00 
9781454709756,$0.35 
9780385753623,$0.50 
9780316056113,$1.00 
9781501162329,$0.50 
9781454915041,$1.00 
9781481491112,$0.50 
9780062321046,$1.00 
9780756408657,$1.00 
9780062432537,$1.00 
9781783939022,$0.85 
9781250073587,$0.35 
9780374301798,$0.50 
9781408314593,$0.35 
9781250076540,$0.50 
9780385353618,$0.50 
9780310272663,$0.50 
9781250087188,$1.00 
9781481442152,$0.50 
9781595147844,$0.50 
9780805098624,$0.50 
9781599902418,$1.00 
9781481452267,$0.50 
9781408869451,$0.50 
9781250027061,$0.50 
9781623365738,$0.50 
9781605296500,$0.35 
9780062365941,$0.85 
9780062310156,$0.50 
9781454702481,$1.00 
9780140376791,$1.00 
9781250126832,$0.35 
9780385732826,$1.00 
9780451235084,$1.00 
9781501145889,$1.00 
9781484728123,$1.00 
9780310342663,$1.00 
9780062194992,$0.35 
9781484700099,$0.50 
9780449815441,$1.00 
9780718041519,$0.50 
9780062271549,$1.00 
9780062271532,$0.50 
9780062466983,$0.50 
9781402742958,$0.85 
9781250032768,$0.50 
9781594633713,$1.00 
9781250083265,$0.50 
9781101995662,$1.00 
9781615192700,$0.50 
9781435146846,$0.50 
9781423186960,$0.35 
9781484767153,$0.35 
9780061583162,$1.00 
9781474839600,$0.85 
9780761183792,$1.00 
9781609926144,$0.75 
9781595450913,$1.00 
9780142300688,$1.00 
9781250062789,$1.00 
9780425272862,$1.00 
9780062321435,$1.00 
9781620403143,$0.50 
9780062388933,$0.50 
9780062367792,$0.50 
9780147509949,$1.00 
9781250090669,$0.35 
9781250118745,$0.50 
9780689873812,$0.35 
9780765381385,$0.50 
9780142424292,$1.00 
9781472922625,$0.50 
9781481403986,$0.50 
9781534402140,$1.00 
9781620405956,$0.50 
9780448031460,$1.00 
9780062432667,$0.85 
9781400069538,$0.50 
9781783938445,$1.00 
9781411470408,$1.00 
9780062260871,$1.00 
9780764211850,$1.00 
9780062282422,$1.00 
9781451633108,$1.00 
9781501151040,$0.50 
9780553522150,$1.00 
9781481447881,$1.00 
9781250082671,$0.50 
9781442442467,$1.00 
9781416927396,$1.00 
9781442416550,$1.00 
9781451644715,$0.50 
9781481463959,$1.00 
9780385352604,$1.00 
9781250098078,$1.00 
9780310294023,$0.50 
9781400320158,$1.00 
9781400320165,$1.00 
9781785987946,$1.00 
9780718032272,$1.00 
9781455513185,$1.00 
9780147516602,$1.00 
9781782357476,$1.00 
9781908449313,$0.35 
9781416979210,$0.35 
9781250072184,$0.50 
9780385743174,$1.00 
9781481404495,$1.00 
9781443423502,$0.50 
9780801093647,$0.85 
9780316195799,$1.00 
9781782812562,$0.50 
9781454919896,$1.00 
9780310320364,$0.50 
9781476778563,$0.50 
9780771046445,$0.50 
9781615192847,$1.00 
9781445469904,$0.35 
9780448483306,$1.00 
9781250021878,$1.00 
9781416936336,$1.00 
9780062375735,$0.50 
9781474854887,$1.00 
9781788431613,$1.00 
9781454702405,$0.50 
9781454920656,$1.00 
9781454920625,$1.00 
9781783935833,$0.85 
9781474854849,$1.00 
9780060539719,$1.00 
9780061702211,$1.00 
9781474854801,$1.00 
9780694012213,$0.75 
9781454908357,$0.50 
9781454920632,$0.35 
9780670010950,$0.50 
9780688094928,$0.50 
9780375850905,$0.35 
9780316438025,$1.00 
9780385734929,$1.00 
9780671796600,$0.75 
9780142406472,$1.00 
9781481480871,$1.00 
9780380782413,$1.00 
9780849948411,$0.50 
9781481495240,$1.00 
9781481413626,$1.00 
9781481471725,$1.00 
9780765377760,$0.50 
9781781863831,$0.35 
9781501129988,$0.50 
9781474892551,$0.85 
