UPC,PriceNet_$,,UPC
0081227193324,3.3,,00081227193324
0888751349728,12.54,,00888751349728
0888750199829,3.14,,00888750199829
0190758292823,9.35,,00190758292823
0889854323516,14.99,,00889854323516
0602527937717,8.25,,00602527937717
5099960282323,5,,05099960282323
0813547025876,10.49,,00813547025876
0889853888320,7.98,,00889853888320
0602577011474,9.3,,00602577011474
0050087350864,6.67,,00050087350864
0696998611924,4.48,,00696998611924
0888072052086,10.73,,00888072052086
0600753802144,13.22,,00600753802144
0074646585023,4.5,,00074646585023
0075678659850,10.09,,00075678659850
0081227977757,24,,00081227977757
0075678659188,10.09,,00075678659188
0889854059224,11.28,,00889854059224
0888072063884,10.44,,00888072063884
0602557589924,11.39,,00602557589924
0843930034796,10.44,,00843930034796
0602567784692,12.26,,00602567784692
0602567642893,13.22,,00602567642893
0600753570951,14.07,,00600753570951
0602557890167,13.19,,00602557890167
0093624941422,16.11,,00093624941422
0081227429522,10.09,,00081227429522
0093624904489,14.77,,00093624904489
0602557426908,8.25,,00602557426908
0843930032662,13.19,,00843930032662
0696998899827,8.25,,00696998899827
0696998020719,18.88,,00696998020719
0602557618099,11.39,,00602557618099
0804879610694,11.82,,00804879610694
0602527950891,13.8,,00602527950891
0050087388256,6.67,,00050087388256
0190758938820,10.07,,00190758938820
0050086070978,4.84,,00050086070978
0602567359869,9.35,,00602567359869
0602567875208,9.83,,00602567875208
0602557691733,17.63,,00602557691733
0602547824448,8.25,,00602547824448
0724358271027,5,,00724358271027
0810067010115,9.9,,00810067010115
0888072055834,9.35,,00888072055834
0190758991320,9.35,,00190758991320
0075678656583,10.09,,00075678656583
0602537173402,10.44,,00602537173402
0602537178506,10.44,,00602537178506
0190758124728,9.35,,00190758124728
0602557479584,10.44,,00602557479584
0075678656545,13.26,,00075678656545
4050538417081,10.63,,04050538417081
0075678662515,13.26,,00075678662515
0888072057982,11.35,,00888072057982
0889854332129,9.35,,00889854332129
0190758364728,9.35,,00190758364728
0050087348236,8.25,,00050087348236
0602557708080,11.39,,00602557708080
0074646217122,4.52,,00074646217122
0889854722227,9.35,,00889854722227
0050086138272,6.67,,00050086138272
0602537126835,5,,00602537126835
0888751709126,8.97,,00888751709126
0602557970623,12.35,,00602557970623
0081227397128,13.06,,00081227397128
0081227571726,3.3,,00081227571726
0889854690519,21.66,,00889854690519
0190758835921,8.68,,00190758835921
0602557675351,11.39,,00602557675351
0602557681864,10.44,,00602557681864
0888072036697,9.35,,00888072036697
0050087356095,10.44,,00050087356095
0190758914220,7.98,,00190758914220
0074646493526,5.94,,00074646493526
0888430855724,6.6,,00888430855724
